Name,alpha,delta,e_eps,model,pick_neighbor,test/acc,dataset,Unnamed: 0
84c871bd-ea5a-11ed-9aa9-54b20380cf4d,0.0,0.0,8.0,sage,top,81.58050221565732,cora,
5d085302-ea5a-11ed-9aa9-54b20380cf4d,0.5,1.0,0.1,gat,top,80.25110782865585,cora,
35ecea17-ea5a-11ed-9aa9-54b20380cf4d,0.75,0.5,0.1,sage,top,81.83161004431314,cora,
0f2a6c75-ea5a-11ed-9aa9-54b20380cf4d,1.0,0.25,2.0,sage,top,81.80206794682422,cora,
e4e27339-ea59-11ed-9aa9-54b20380cf4d,1.0,0.1,2.0,gat,top,81.03397341211226,cora,
be57af0d-ea59-11ed-9aa9-54b20380cf4d,0.75,1.0,0.1,sage,top,81.77252584933531,cora,
9555d02c-ea59-11ed-9aa9-54b20380cf4d,0.25,1.0,0.1,gcn,top,81.71344165435747,cora,
6c67134a-ea59-11ed-9aa9-54b20380cf4d,0.5,1.0,1.0,gcn,top,81.71344165435747,cora,
63219327-ea59-11ed-9aa9-54b20380cf4d,0.0,0.0,inf,sage,top,81.77252584933531,cora,
2c6917e5-ea59-11ed-9aa9-54b20380cf4d,0.25,0.0,0.1,gat,top,74.16543574593797,cora,
20954482-ea59-11ed-9aa9-54b20380cf4d,0.0,0.5,inf,gat,top,80.11816838995568,cora,
eecad5ee-ea58-11ed-9aa9-54b20380cf4d,0.25,0.0,8.0,gcn,top,81.75775480059085,cora,
c7072738-ea58-11ed-9aa9-54b20380cf4d,0.5,1.0,2.0,gat,top,79.27621861152141,cora,
bb43a0a8-ea58-11ed-9aa9-54b20380cf4d,0.75,1.0,inf,gat,top,79.45347119645494,cora,
8f66b0fe-ea58-11ed-9aa9-54b20380cf4d,1.0,0.25,1.0,gcn,top,81.72821270310192,cora,
59489fcc-ea58-11ed-9aa9-54b20380cf4d,0.5,0.0,0.1,gat,top,73.44165435745938,cora,
2f1c8ec8-ea58-11ed-9aa9-54b20380cf4d,0.75,0.5,1.0,gat,top,80.57607090103397,cora,
25170a62-ea58-11ed-9aa9-54b20380cf4d,1.0,0.1,inf,sage,top,81.77252584933531,cora,
f9c764cc-ea57-11ed-9aa9-54b20380cf4d,0.0,0.25,1.0,sage,top,81.10782865583455,cora,
d03f9d5f-ea57-11ed-9aa9-54b20380cf4d,0.5,0.5,0.1,gcn,top,81.77252584933531,cora,
a723fdf6-ea57-11ed-9aa9-54b20380cf4d,1.0,0.5,8.0,gat,top,79.91137370753323,cora,
8113ac23-ea57-11ed-9aa9-54b20380cf4d,0.5,1.0,8.0,sage,top,81.77252584933531,cora,
533aa8cb-ea57-11ed-9aa9-54b20380cf4d,0.5,0.1,2.0,sage,top,81.65435745937961,cora,
2621397a-ea57-11ed-9aa9-54b20380cf4d,0.25,0.25,0.1,gcn,top,80.42836041358937,cora,
fd1cd224-ea56-11ed-9aa9-54b20380cf4d,1.0,0.5,0.1,gcn,top,81.86115214180208,cora,
d2f5e89c-ea56-11ed-9aa9-54b20380cf4d,0.5,0.25,2.0,gcn,top,81.2850812407681,cora,
a49b297c-ea56-11ed-9aa9-54b20380cf4d,0.5,0.1,0.1,gcn,top,77.99113737075332,cora,
9b409976-ea56-11ed-9aa9-54b20380cf4d,0.25,0.25,inf,sage,top,81.77252584933531,cora,
91bd4b10-ea56-11ed-9aa9-54b20380cf4d,0.5,0.5,inf,sage,top,81.77252584933531,cora,
5cd233e6-ea56-11ed-9aa9-54b20380cf4d,0.0,0.1,0.1,gat,top,77.42983751846381,cora,
35085ccd-ea56-11ed-9aa9-54b20380cf4d,0.75,1.0,1.0,gat,top,80.26587887740028,cora,
0e66db87-ea56-11ed-9aa9-54b20380cf4d,1.0,0.25,1.0,sage,top,81.69867060561299,cora,
04f3c233-ea56-11ed-9aa9-54b20380cf4d,1.0,1.0,inf,sage,top,81.77252584933531,cora,
f81f4370-ea55-11ed-9aa9-54b20380cf4d,0.5,0.1,inf,gcn,top,81.71344165435747,cora,
